Year,Bat,Rodent,Mosquito,Tick
1995,4,296,69,3
1996,4,300,183,9
1997,14,393,204,37
1998,19,457,280,46
1999,21,596,381,60
2000,38,700,421,154
2001,319,812,494,167
2002,466,881,530,191
2003,503,986,576,213
2004,756,1080,696,230
2005,999,1376,828,310
2006,1300,1673,1000,369
2007,1499,2096,1504,511
2008,1796,2538,1800,695
2009,2413,3078,2709,760
2010,3418,3393,3624,1171
2011,3977,4140,4446,1449
2012,4681,4869,5061,1920
2013,5569,5649,5997,2384
2014,6310,6526,7116,2648
2015,7205,7848,7997,3242
2016,9894,8810,9145,3667